country,chip,parcel_id,full_px,hectares,native_10m_px,best_iou,found,width_native_px
slovenia,g13_00002_16.tif,6402188,18,0.03094,3.09,0.0,0,1.242
slovenia,g13_00002_16.tif,6983393,134,0.23032,23.03,0.0,0,2.204
slovenia,g13_00002_16.tif,7079929,127,0.21829,21.83,0.0,0,1.927
slovenia,g13_00002_17.tif,6113948,40,0.06875,6.88,0.0,0,1.927
slovenia,g13_00002_18.tif,6157272,11,0.01891,1.89,0.0,0,0.757
slovenia,g13_00003_12.tif,6166700,85,0.1461,14.61,0.0,0,2.204
slovenia,g13_00003_12.tif,6166702,54,0.09281,9.28,0.0,0,2.204
slovenia,g13_00003_12.tif,6166704,22,0.03781,3.78,0.0,0,1.437
slovenia,g13_00003_12.tif,6490468,44,0.07563,7.56,0.0,0,1.437
slovenia,g13_00003_12.tif,6490470,11,0.01891,1.89,0.0,0,0.757
slovenia,g13_00003_12.tif,6514417,674,1.15847,115.85,0.0,0,7.863
slovenia,g13_00003_12.tif,6514421,162,0.27844,27.84,0.0,0,2.897
slovenia,g13_00003_12.tif,6514422,290,0.49845,49.85,0.0,0,4.044
slovenia,g13_00003_12.tif,6572178,209,0.35923,35.92,0.0,0,3.725
slovenia,g13_00003_12.tif,6737064,98,0.16844,16.84,0.0,0,2.204
slovenia,g13_00003_12.tif,6910737,15,0.02578,2.58,0.0,0,1.242
slovenia,g13_00003_12.tif,6910738,31,0.05328,5.33,0.0,0,1.927
slovenia,g13_00003_12.tif,6910741,19,0.03266,3.27,0.0,0,0.757
slovenia,g13_00003_12.tif,6910746,95,0.16329,16.33,0.0,0,2.999
slovenia,g13_00003_13.tif,6166702,51,0.08766,8.77,0.0,0,2.069
slovenia,g13_00003_13.tif,6324650,49,0.08422,8.42,0.0,0,1.437
slovenia,g13_00003_13.tif,6324653,12,0.02063,2.06,0.0,0,0.757
slovenia,g13_00003_13.tif,6524321,238,0.40907,40.91,0.0,0,2.204
slovenia,g13_00003_13.tif,6524323,74,0.12719,12.72,0.0,0,2.069
slovenia,g13_00003_13.tif,6524324,7,0.01203,1.2,0.0,0,0.757
slovenia,g13_00003_13.tif,6524325,115,0.19766,19.77,0.0,0,2.999
slovenia,g13_00003_13.tif,6737065,155,0.26641,26.64,0.0,0,3.288
slovenia,g13_00003_13.tif,6737066,62,0.10657,10.66,0.0,0,2.571
slovenia,g13_00003_14.tif,6145881,47,0.08078,8.08,0.0,0,1.242
slovenia,g13_00003_14.tif,6145882,769,1.32175,132.18,0.0,0,8.501
slovenia,g13_00003_14.tif,6145886,5,0.00859,0.86,0.0,0,0.414
slovenia,g13_00003_14.tif,6145887,17,0.02922,2.92,0.0,0,0.757
slovenia,g13_00003_14.tif,6145890,113,0.19422,19.42,0.0,0,2.999
slovenia,g13_00003_14.tif,6145891,94,0.16157,16.16,0.0,0,2.897
slovenia,g13_00003_14.tif,6145892,157,0.26985,26.99,0.0,0,3.725
slovenia,g13_00003_14.tif,6145893,95,0.16329,16.33,0.0,0,2.069
slovenia,g13_00003_14.tif,6199100,52,0.08938,8.94,0.0,0,2.069
slovenia,g13_00003_14.tif,6394110,32,0.055,5.5,0.0,0,1.242
slovenia,g13_00003_14.tif,6446137,31,0.05328,5.33,0.0,0,1.437
slovenia,g13_00003_14.tif,6537426,24,0.04125,4.13,0.0,0,1.437
slovenia,g13_00003_14.tif,6560698,325,0.55861,55.86,0.0,0,4.821
slovenia,g13_00003_14.tif,6560699,180,0.30938,30.94,0.0,0,3.725
slovenia,g13_00003_14.tif,6774220,25,0.04297,4.3,0.0,0,0.757
slovenia,g13_00003_14.tif,6774225,28,0.04813,4.81,0.0,0,1.242
slovenia,g13_00003_14.tif,6872553,315,0.54142,54.14,0.0,0,4.821
slovenia,g13_00003_14.tif,7019528,14,0.02406,2.41,0.0,0,0.757
slovenia,g13_00003_14.tif,7019531,150,0.25782,25.78,0.0,0,4.044
slovenia,g13_00003_18.tif,6133722,406,0.69783,69.78,0.9014,1,5.38
slovenia,g13_00003_18.tif,6146415,166,0.28532,28.53,0.0,0,3.098
slovenia,g13_00003_18.tif,6146416,110,0.18907,18.91,0.0,0,2.999
slovenia,g13_00003_18.tif,6224238,457,0.78549,78.55,0.0914,0,7.036
slovenia,g13_00003_18.tif,6224239,36,0.06188,6.19,0.0,0,1.242
slovenia,g13_00003_18.tif,6224304,218,0.3747,37.47,0.6606,1,5.439
slovenia,g13_00003_18.tif,6224344,141,0.24235,24.24,0.0,0,2.069
slovenia,g13_00003_18.tif,6224464,43,0.07391,7.39,0.0,0,1.927
slovenia,g13_00003_18.tif,6625264,547,0.94018,94.02,0.8969,1,7.439
slovenia,g13_00003_18.tif,6736122,771,1.32519,132.52,0.2442,0,6.99
slovenia,g13_00003_18.tif,6862344,474,0.81471,81.47,0.9057,1,6.208
slovenia,g13_00003_18.tif,6862375,3792,6.51767,651.77,0.9653,1,19.452
slovenia,g13_00003_18.tif,6862397,2053,3.52869,352.87,0.6789,1,14.485
slovenia,g13_00003_18.tif,6862405,33,0.05672,5.67,0.0212,0,1.437
slovenia,g13_00003_18.tif,6862407,1111,1.90958,190.96,0.8917,1,7.036
slovenia,g13_00003_18.tif,6862425,8,0.01375,1.38,0.002,0,0.414
slovenia,g13_00003_18.tif,6953125,1649,2.83429,283.43,0.928,1,13.461
slovenia,g13_00003_18.tif,6953150,269,0.46236,46.24,0.4369,0,4.044
slovenia,g13_00003_18.tif,6970149,864,1.48504,148.5,0.0,0,10.347
slovenia,g13_00004_0.tif,6090653,19,0.03266,3.27,0.0,0,1.437
slovenia,g13_00004_0.tif,6090654,54,0.09281,9.28,0.0,0,1.927
slovenia,g13_00004_0.tif,6090658,10,0.01719,1.72,0.0,0,0.757
slovenia,g13_00004_0.tif,6111251,6,0.01031,1.03,0.0,0,0.414
slovenia,g13_00004_0.tif,6111252,60,0.10313,10.31,0.0,0,1.927
slovenia,g13_00004_0.tif,6208423,18,0.03094,3.09,0.0,0,1.242
slovenia,g13_00004_0.tif,6316528,364,0.62564,62.56,0.0,0,3.807
slovenia,g13_00004_0.tif,6316531,12,0.02063,2.06,0.0,0,0.414
slovenia,g13_00004_0.tif,6707003,180,0.30938,30.94,0.6029,1,4.413
slovenia,g13_00004_0.tif,6707008,80,0.1375,13.75,0.2135,0,2.897
slovenia,g13_00004_0.tif,6788595,61,0.10485,10.48,0.4762,0,2.069
slovenia,g13_00004_0.tif,6788596,690,1.18597,118.6,0.4411,0,8.729
slovenia,g13_00004_0.tif,6862344,421,0.72361,72.36,0.4043,0,4.553
slovenia,g13_00004_0.tif,6862365,1818,3.12477,312.48,0.9311,1,15.891
slovenia,g13_00004_0.tif,6862366,2410,4.1423,414.23,0.898,1,9.519
slovenia,g13_00004_0.tif,6862373,3498,6.01235,601.23,0.9582,1,20.689
slovenia,g13_00004_0.tif,6862394,2318,3.98417,398.42,0.4777,0,15.486
slovenia,g13_00004_0.tif,6862396,2239,3.84838,384.84,0.4659,0,15.572
slovenia,g13_00004_0.tif,6862397,6,0.01031,1.03,0.0,0,0.414
slovenia,g13_00004_0.tif,6910498,1421,2.44241,244.24,0.7695,1,13.288
slovenia,g13_00004_0.tif,6987753,126,0.21657,21.66,0.6146,1,2.897
slovenia,g13_00004_0.tif,7044089,243,0.41767,41.77,0.7672,1,3.807
slovenia,g13_00004_0.tif,7044092,285,0.48986,48.99,0.015,0,4.821
slovenia,g13_00004_0.tif,7049957,26,0.04469,4.47,0.098,0,1.242
slovenia,g13_00004_1.tif,6090656,748,1.28566,128.57,0.8783,1,7.863
slovenia,g13_00004_1.tif,6094132,187,0.32141,32.14,0.0,0,3.098
slovenia,g13_00004_1.tif,6094133,11,0.01891,1.89,0.0,0,0.757
slovenia,g13_00004_1.tif,6094134,16,0.0275,2.75,0.0,0,0.757
slovenia,g13_00004_1.tif,6094137,409,0.70299,70.3,0.0,0,4.553
slovenia,g13_00004_1.tif,6094214,191,0.32829,32.83,0.7803,1,3.725
slovenia,g13_00004_1.tif,6165385,2252,3.87073,387.07,0.6691,1,13.461
slovenia,g13_00004_1.tif,6165391,486,0.83533,83.53,0.0,0,4.413
slovenia,g13_00004_1.tif,6267989,3763,6.46783,646.78,0.9249,1,12.856
slovenia,g13_00004_1.tif,6420102,47,0.08078,8.08,0.0,0,2.069
slovenia,g13_00004_1.tif,6443932,6,0.01031,1.03,0.0,0,0.414
slovenia,g13_00004_1.tif,6443934,365,0.62736,62.74,0.4326,0,6.99
slovenia,g13_00004_1.tif,6443941,660,1.13441,113.44,0.8812,1,6.051
slovenia,g13_00004_1.tif,6443952,98,0.16844,16.84,0.0,0,2.204
slovenia,g13_00004_1.tif,6444032,286,0.49158,49.16,0.717,1,2.571
slovenia,g13_00004_1.tif,6444073,345,0.59298,59.3,0.6254,1,3.098
slovenia,g13_00004_1.tif,6444273,450,0.77346,77.35,0.0,0,6.99
slovenia,g13_00004_1.tif,6444289,619,1.06393,106.39,0.5738,1,5.89
slovenia,g13_00004_1.tif,6444732,2055,3.53213,353.21,0.4538,0,14.983
slovenia,g13_00004_1.tif,6503716,289,0.49673,49.67,0.8629,1,5.439
slovenia,g13_00004_1.tif,6503721,459,0.78893,78.89,0.8792,1,4.886
slovenia,g13_00004_1.tif,6503913,396,0.68064,68.06,0.6877,1,5.439
slovenia,g13_00004_1.tif,6503966,8,0.01375,1.38,0.0,0,0.414
slovenia,g13_00004_1.tif,6504115,513,0.88174,88.17,0.8423,1,6.26
slovenia,g13_00004_1.tif,6504116,596,1.0244,102.44,0.7772,1,6.99
slovenia,g13_00004_1.tif,6504194,423,0.72705,72.71,0.8243,1,4.268
slovenia,g13_00004_1.tif,6559607,595,1.02268,102.27,0.5347,1,2.897
slovenia,g13_00004_1.tif,6578268,385,0.66174,66.17,0.8985,1,6.26
slovenia,g13_00004_1.tif,6578397,434,0.74596,74.6,0.5963,1,4.553
slovenia,g13_00004_1.tif,6578410,388,0.66689,66.69,0.0378,0,7.036
slovenia,g13_00004_1.tif,6578413,509,0.87487,87.49,0.5154,1,4.821
slovenia,g13_00004_1.tif,6578415,103,0.17704,17.7,0.0417,0,1.242
slovenia,g13_00004_1.tif,6581409,2073,3.56306,356.31,0.0,0,13.633
slovenia,g13_00004_1.tif,6581410,10,0.01719,1.72,0.0,0,0.757
slovenia,g13_00004_1.tif,6581411,63,0.10828,10.83,0.0,0,1.927
slovenia,g13_00004_1.tif,6689417,461,0.79236,79.24,0.617,1,2.069
slovenia,g13_00004_1.tif,6707003,192,0.33001,33.0,0.576,1,4.821
slovenia,g13_00004_1.tif,6707008,98,0.16844,16.84,0.2564,0,2.571
slovenia,g13_00004_1.tif,6788595,871,1.49707,149.71,0.888,1,8.84
slovenia,g13_00004_1.tif,6788596,61,0.10485,10.48,0.0,0,2.069
slovenia,g13_00004_1.tif,6862312,3735,6.4197,641.97,0.9805,1,21.075
slovenia,g13_00004_1.tif,6862365,3675,6.31657,631.66,0.7359,1,16.988
slovenia,g13_00004_1.tif,6862373,1225,2.10552,210.55,0.2355,0,11.174
slovenia,g13_00004_1.tif,6862379,3940,6.77206,677.21,0.9574,1,18.642
slovenia,g13_00004_1.tif,6862393,2402,4.12855,412.85,0.8987,1,8.691
slovenia,g13_00004_1.tif,6917340,612,1.0519,105.19,0.8149,1,6.99
slovenia,g13_00004_1.tif,6945580,79,0.13578,13.58,0.0,0,1.437
slovenia,g13_00004_1.tif,6945581,144,0.24751,24.75,0.2755,0,2.571
slovenia,g13_00004_1.tif,6961800,146,0.25094,25.09,0.8803,1,2.897
slovenia,g13_00004_1.tif,6961802,196,0.33688,33.69,0.6087,1,3.725
slovenia,g13_00004_1.tif,7044089,261,0.44861,44.86,0.4631,0,4.553
slovenia,g13_00005_10.tif,6689886,213,0.3661,36.61,0.0,0,4.821
slovenia,g13_00005_11.tif,6689885,32,0.055,5.5,0.0,0,1.242
slovenia,g13_00005_9.tif,7079929,55,0.09453,9.45,0.0,0,1.927
slovenia,g13_00006_11.tif,6085712,491,0.84393,84.39,0.0,0,5.89
slovenia,g13_00006_11.tif,6085714,45,0.07735,7.73,0.0,0,1.242
slovenia,g13_00006_11.tif,6085715,823,1.41457,141.46,0.0,0,7.395
slovenia,g13_00006_11.tif,6093619,768,1.32004,132.0,0.3416,0,6.658
slovenia,g13_00006_11.tif,6093620,1602,2.75351,275.35,0.2227,0,9.239
slovenia,g13_00006_11.tif,6093628,873,1.50051,150.05,0.8794,1,10.691
slovenia,g13_00006_11.tif,6109021,43,0.07391,7.39,0.0,0,1.242
slovenia,g13_00006_11.tif,6645080,10,0.01719,1.72,0.0,0,0.414
slovenia,g13_00006_11.tif,6953134,946,1.62598,162.6,0.0,0,9.553
slovenia,g13_00006_11.tif,6987751,542,0.93159,93.16,0.4736,0,8.027
slovenia,g13_00006_11.tif,6995387,865,1.48676,148.68,0.3799,0,8.691
slovenia,g13_00006_11.tif,6995390,58,0.09969,9.97,0.0216,0,2.069
slovenia,g13_00006_12.tif,6085722,98,0.16844,16.84,0.339,0,2.204
slovenia,g13_00006_12.tif,6089770,612,1.0519,105.19,0.0,0,8.228
slovenia,g13_00006_12.tif,6089772,64,0.11,11.0,0.0,0,2.897
slovenia,g13_00006_12.tif,6093624,1275,2.19146,219.15,0.6052,1,8.84
slovenia,g13_00006_12.tif,6093625,1207,2.07459,207.46,0.2583,0,10.722
slovenia,g13_00006_12.tif,6093628,272,0.46751,46.75,0.4074,0,4.553
slovenia,g13_00006_12.tif,6093632,503,0.86455,86.46,0.0416,0,5.89
slovenia,g13_00006_12.tif,6109021,802,1.37847,137.85,0.4115,0,10.056
slovenia,g13_00006_12.tif,6109028,385,0.66174,66.17,0.0,0,4.621
slovenia,g13_00006_12.tif,6111252,44,0.07563,7.56,0.0,0,1.927
slovenia,g13_00006_12.tif,6166271,89,0.15297,15.3,0.0,0,1.927
slovenia,g13_00006_12.tif,6166272,8,0.01375,1.38,0.0,0,0.414
slovenia,g13_00006_12.tif,6166273,24,0.04125,4.13,0.0,0,1.437
slovenia,g13_00006_12.tif,6166275,104,0.17875,17.88,0.0,0,2.897
slovenia,g13_00006_12.tif,6166276,290,0.49845,49.85,0.4519,0,3.807
